section,table,task,time_wasted,complexity,query,another_query,additional_query
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных всю информацию о фильмах, идентификатор которых принадлежит диапазону [1; 5] и которые длятся более 100 минут.",5,2,SELECT * FROM Films WHERE id BETWEEN 1 AND 5 AND running_time >= 100,SELECT * FROM Films  WHERE id <= 5 AND running_time > 100,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, имя и фамилия режиссера, год выпуска), режиссером которых является John Lasseter и которые были выпущены до 2000 года.",5,2,"SELECT title, director, release_year FROM Films WHERE director = 'John Lasseter' AND release_year <= 2000 ORDER BY release_year",,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, год выпуска), которые были выпущены в 1999 году или в 2009​​​ ​​​​году.",5,1,"SELECT title, release_year FROM Films WHERE release_year IN (1999, 2009) ORDER BY release_year desc",,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, продолжительность), которые длятся менее 100 минут или более 110 минут.",5,1,"SELECT title, running_time FROM Films WHERE running_time > 110 OR running_time < 100 ORDER BY running_time DESC",,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films ( id INT PRIMARY KEY AUTO_INCREMENT, title VARCHAR(20), director VARCHAR(20), release_year INT, running_time INT ); INSERT INTO Films (title, director, release_year, running_time) VALUES ('Toy Story 2', 'John Lasseter', 1999, 93), ('WALL-E', 'Andrew Stanton', 2008, 104), ('Ratatouille', 'Brad Bird', 2007, 115), ('Up', 'Pete Docter', 2009, 101), ('Brave', 'Brenda Chapman', 2012, 102), ('Monsters University', 'Dan Scanlon', 2013, 110), ('Cars 2', 'John Lasseter', 2011, 120), ('Finding Nemo', 'Andrew Stanton', 2003, 107), ('Toy Story', 'John Lasseter', 1995, 81), ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, имя и фамилия режиссера, продолжительность), режиссером которых является John Lasseter или Andrew Stanton и которые длятся более 100 минут.",10,1,"SELECT title, director, running_time FROM Films WHERE (director = 'John Lasseter' OR director = 'Andrew Stanton') AND running_time > 100 ORDER BY director, title",,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, который извлекает из предложенной базы данных всю информацию о фильмах под названиями WALL-E, Up, Brave и Toy Story.",5,1,"SELECT * FROM Films WHERE title IN ('WALL-E', 'Up', 'Brave', 'Toy Story') ORDER BY release_year ",,
3.5. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(20),     director     VARCHAR(20),     release_year INT,     running_time INT );  INSERT INTO Films (title, director, release_year, running_time)  VALUES ('Toy Story 2', 'John Lasseter', 1999, 93),        ('WALL-E', 'Andrew Stanton', 2008, 104),        ('Ratatouille', 'Brad Bird', 2007, 115),        ('Up', 'Pete Docter', 2009, 101),        ('Brave', 'Brenda Chapman', 2012, 102),        ('Monsters University', 'Dan Scanlon', 2013, 110),        ('Cars 2', 'John Lasseter', 2011, 120),        ('Finding Nemo', 'Andrew Stanton', 2003, 107),        ('Toy Story', 'John Lasseter', 1995, 81),        ('The Incredibles', 'Brad Bird', 2004, 116);","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, имя и фамилия режиссера, год выпуска), которые были выпущены не в 2004, 2008 и 2012 годах.",5,1,"SELECT title, director, release_year FROM Films WHERE release_year NOT IN ('2004', '2008', '2012') ORDER BY director, release_year DESC",,
3.6. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(40),     director     VARCHAR(40) );  INSERT INTO Films (title, director) VALUES ('Toy Story 3', 'Lee Unkrich'),        ('Monsters University', 'Dan Scanlon'),        ('Toy Story 2', 'John Lasseter'),        ('WALL-E', 'Andrew Stanton'),        ('Ratatouille', 'Brad Bird'),        ('Up', 'Pete Docter'),        ('Brave', 'Brenda Chapman'),        ('Finding Nemo', 'Andrew Stanton'),        ('Toy Story', 'John Lasseter'),        ('The Incredibles', 'Brad Bird'); ","Напишите запрос, извлекающий из предложенной базы данных информацию о фильмах (название, имя и фамилия режиссера), которые принадлежат серии Toy Story.",5,1,"SELECT title, director FROM Films WHERE title LIKE 'Toy story%' ORDER BY title",,
3.6. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(40),     director     VARCHAR(40) );  INSERT INTO Films (title, director) VALUES ('Toy Story 3', 'Lee Unkrich'),        ('Monsters University', 'Dan Scanlon'),        ('Toy Story 2', 'John Lasseter'),        ('WALL-E', 'Andrew Stanton'),        ('Ratatouille', 'Brad Bird'),        ('Up', 'Pete Docter'),        ('Brave', 'Brenda Chapman'),        ('Finding Nemo', 'Andrew Stanton'),        ('Toy Story', 'John Lasseter'),        ('The Incredibles', 'Brad Bird'); ","Напишите запрос, извлекающий из предложенной базы данных уникальные имена и фамилии режиссеров, имена которых начинаются на букву B.",5,1,select distinct director from Films where director like binary 'B%' order by director,,
3.6. Основы. Фильтрация данных,"DROP TABLE IF EXISTS Films; CREATE TABLE Films (     id           INT PRIMARY KEY AUTO_INCREMENT,     title        VARCHAR(40),     director     VARCHAR(40) );  INSERT INTO Films (title, director) VALUES ('Toy Story 3', 'Lee Unkrich'),        ('Monsters University', 'Dan Scanlon'),        ('Toy Story 2', 'John Lasseter'),        ('WALL-E', 'Andrew Stanton'),        ('Ratatouille', 'Brad Bird'),        ('Up', 'Pete Docter'),        ('Brave', 'Brenda Chapman'),        ('Finding Nemo', 'Andrew Stanton'),        ('Toy Story', 'John Lasseter'),        ('The Incredibles', 'Brad Bird'); ","Напишите запрос, извлекающий из предложенной базы данных уникальные имена и фамилии режиссеров, фамилии которых заканчиваются на сочетание букв er.",5,1,select distinct director from Films where director like '%er' order by director,,
